Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 367.0147 | w0: 1.0000 | r0: 0.3078 | st0: 0.8522 | sd0: 0.9689 | gamma0: 0.000000 | lr : 0.10000000 
Step: 1 | Loss: 161.1217 | w0: 1.0000 | r0: 0.6019 | st0: 1.0345 | sd0: 0.9548 | gamma0: 0.007224 | lr : 0.10000000 
Step: 2 | Loss:  44.4459 | w0: 1.0000 | r0: 0.2179 | st0: 0.9476 | sd0: 0.9554 | gamma0: 0.006033 | lr : 0.10000000 
Step: 3 | Loss:  22.3339 | w0: 1.0000 | r0: 0.5818 | st0: 0.9176 | sd0: 1.0037 | gamma0: 0.005740 | lr : 0.10000000 
Step: 4 | Loss: 218.2965 | w0: 1.0000 | r0: 0.5839 | st0: 1.0912 | sd0: 1.0626 | gamma0: 0.006782 | lr : 0.10000000 
tick 0     kimg 0.0       time 11s          sec/tick 8.1     sec/kimg 253.65  maintenance 2.9    gpumem 19.80  reserved 19.83 
Step: 0 | Loss:  81.2855 | w0: 1.0000 | r0: 0.2415 | st0: 0.8392 | sd0: 0.9851 | gamma0: 0.000000 | lr : 0.09999773 
Step: 1 | Loss:  72.8786 | w0: 1.0000 | r0: 0.5515 | st0: 1.0530 | sd0: 0.9683 | gamma0: 0.006919 | lr : 0.09999773 
Step: 2 | Loss:  19.8228 | w0: 1.0000 | r0: 0.1724 | st0: 0.9807 | sd0: 0.9699 | gamma0: 0.005708 | lr : 0.09999773 
Step: 3 | Loss:   8.6107 | w0: 1.0000 | r0: 0.5117 | st0: 0.9420 | sd0: 1.0180 | gamma0: 0.005858 | lr : 0.09999773 
Step: 4 | Loss: 201.2067 | w0: 1.0000 | r0: 0.5319 | st0: 1.1071 | sd0: 1.0686 | gamma0: 0.007006 | lr : 0.09999773 
Step: 0 | Loss:   1.5824 | w0: 1.0000 | r0: 0.2515 | st0: 0.8319 | sd0: 0.9977 | gamma0: 0.000000 | lr : 0.09999093 
