Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 225.5520 | w0: 1.0000 | r0: 0.6829 | st0: 1.0405 | sd0: 1.0035 | gamma0: 0.000000 | gamma_off | lr : 0.19892535 
Step: 1 | Loss: 205.2897 | w0: 1.0000 | r0: 0.1576 | st0: 1.1637 | sd0: 1.0188 | gamma0: 0.000000 | gamma_off | lr : 0.19892535 
Step: 0 | Loss: 189.1813 | w0: 1.0000 | r0: 0.6819 | st0: 1.0426 | sd0: 1.0041 | gamma0: 0.000000 | gamma_off | lr : 0.19877761 
Step: 1 | Loss: 179.9997 | w0: 1.0000 | r0: 0.1618 | st0: 1.1644 | sd0: 1.0162 | gamma0: 0.000000 | gamma_off | lr : 0.19877761 
Step: 0 | Loss: 136.5027 | w0: 1.0000 | r0: 0.6758 | st0: 1.0446 | sd0: 1.0034 | gamma0: 0.000000 | gamma_off | lr : 0.19862041 
Step: 1 | Loss: 181.1975 | w0: 1.0000 | r0: 0.1655 | st0: 1.1648 | sd0: 1.0129 | gamma0: 0.000000 | gamma_off | lr : 0.19862041 
Step: 0 | Loss: 127.6194 | w0: 1.0000 | r0: 0.6669 | st0: 1.0479 | sd0: 1.0029 | gamma0: 0.000000 | gamma_off | lr : 0.19845379 
Step: 1 | Loss: 186.1267 | w0: 1.0000 | r0: 0.1713 | st0: 1.1648 | sd0: 1.0091 | gamma0: 0.000000 | gamma_off | lr : 0.19845379 
Step: 0 | Loss: 172.7286 | w0: 1.0000 | r0: 0.6677 | st0: 1.0483 | sd0: 1.0018 | gamma0: 0.000000 | gamma_off | lr : 0.19827775 
Step: 1 | Loss: 235.8311 | w0: 1.0000 | r0: 0.1750 | st0: 1.1650 | sd0: 1.0057 | gamma0: 0.000000 | gamma_off | lr : 0.19827775 
Step: 0 | Loss:  80.0817 | w0: 1.0000 | r0: 0.6681 | st0: 1.0468 | sd0: 1.0004 | gamma0: 0.000000 | gamma_off | lr : 0.19809232 
Step: 1 | Loss: 190.7874 | w0: 1.0000 | r0: 0.1801 | st0: 1.1665 | sd0: 1.0022 | gamma0: 0.000000 | gamma_off | lr : 0.19809232 
Step: 0 | Loss: 122.0004 | w0: 1.0000 | r0: 0.6677 | st0: 1.0432 | sd0: 0.9989 | gamma0: 0.000000 | gamma_off | lr : 0.19789751 
Step: 1 | Loss: 197.1931 | w0: 1.0000 | r0: 0.1851 | st0: 1.1678 | sd0: 0.9990 | gamma0: 0.000000 | gamma_off | lr : 0.19789751 
Step: 0 | Loss: 170.5280 | w0: 1.0000 | r0: 0.6672 | st0: 1.0394 | sd0: 0.9968 | gamma0: 0.000000 | gamma_off | lr : 0.19769333 
Step: 1 | Loss: 197.7295 | w0: 1.0000 | r0: 0.1890 | st0: 1.1685 | sd0: 0.9956 | gamma0: 0.000000 | gamma_off | lr : 0.19769333 
Step: 0 | Loss: 229.9468 | w0: 1.0000 | r0: 0.6700 | st0: 1.0359 | sd0: 0.9943 | gamma0: 0.000000 | gamma_off | lr : 0.19747982 
Step: 1 | Loss: 176.2711 | w0: 1.0000 | r0: 0.1947 | st0: 1.1683 | sd0: 0.9924 | gamma0: 0.000000 | gamma_off | lr : 0.19747982 
Step: 0 | Loss: 206.9848 | w0: 1.0000 | r0: 0.6642 | st0: 1.0345 | sd0: 0.9922 | gamma0: 0.000000 | gamma_off | lr : 0.19725700 
Step: 1 | Loss: 176.4570 | w0: 1.0000 | r0: 0.1993 | st0: 1.1685 | sd0: 0.9894 | gamma0: 0.000000 | gamma_off | lr : 0.19725700 
Step: 0 | Loss: 189.1578 | w0: 1.0000 | r0: 0.6582 | st0: 1.0323 | sd0: 0.9911 | gamma0: 0.000000 | gamma_off | lr : 0.19702488 
Step: 1 | Loss: 211.4766 | w0: 1.0000 | r0: 0.2013 | st0: 1.1684 | sd0: 0.9868 | gamma0: 0.000000 | gamma_off | lr : 0.19702488 
Step: 0 | Loss: 277.1938 | w0: 1.0000 | r0: 0.6506 | st0: 1.0297 | sd0: 0.9894 | gamma0: 0.000000 | gamma_off | lr : 0.19678349 
Step: 1 | Loss: 207.4863 | w0: 1.0000 | r0: 0.2012 | st0: 1.1679 | sd0: 0.9850 | gamma0: 0.000000 | gamma_off | lr : 0.19678349 
Step: 0 | Loss: 169.9919 | w0: 1.0000 | r0: 0.6267 | st0: 1.0288 | sd0: 0.9888 | gamma0: 0.000000 | gamma_off | lr : 0.19653285 
Step: 1 | Loss: 180.2190 | w0: 1.0000 | r0: 0.1992 | st0: 1.1677 | sd0: 0.9839 | gamma0: 0.000000 | gamma_off | lr : 0.19653285 
Step: 0 | Loss: 162.6008 | w0: 1.0000 | r0: 0.6041 | st0: 1.0273 | sd0: 0.9893 | gamma0: 0.000000 | gamma_off | lr : 0.19627299 
Step: 1 | Loss: 203.6186 | w0: 1.0000 | r0: 0.1961 | st0: 1.1684 | sd0: 0.9832 | gamma0: 0.000000 | gamma_off | lr : 0.19627299 
Step: 0 | Loss: 116.5632 | w0: 1.0000 | r0: 0.5785 | st0: 1.0275 | sd0: 0.9905 | gamma0: 0.000000 | gamma_off | lr : 0.19600394 
Step: 1 | Loss: 183.2126 | w0: 1.0000 | r0: 0.1921 | st0: 1.1700 | sd0: 0.9828 | gamma0: 0.000000 | gamma_off | lr : 0.19600394 
Step: 0 | Loss:  97.8428 | w0: 1.0000 | r0: 0.5508 | st0: 1.0287 | sd0: 0.9917 | gamma0: 0.000000 | gamma_off | lr : 0.19572572 
Step: 1 | Loss: 205.3699 | w0: 1.0000 | r0: 0.1870 | st0: 1.1717 | sd0: 0.9826 | gamma0: 0.000000 | gamma_off | lr : 0.19572572 
Step: 0 | Loss:  80.8795 | w0: 1.0000 | r0: 0.5218 | st0: 1.0298 | sd0: 0.9927 | gamma0: 0.000000 | gamma_off | lr : 0.19543836 
Step: 1 | Loss: 177.0444 | w0: 1.0000 | r0: 0.1827 | st0: 1.1717 | sd0: 0.9827 | gamma0: 0.000000 | gamma_off | lr : 0.19543836 
Step: 0 | Loss:  54.6193 | w0: 1.0000 | r0: 0.4945 | st0: 1.0304 | sd0: 0.9928 | gamma0: 0.000000 | gamma_off | lr : 0.19514188 
Step: 1 | Loss: 172.8322 | w0: 1.0000 | r0: 0.1794 | st0: 1.1707 | sd0: 0.9832 | gamma0: 0.000000 | gamma_off | lr : 0.19514188 
tick 1     kimg 1.1       time 41s          sec/tick 31.3    sec/kimg 30.57   maintenance 0.1    gpumem 4.63   reserved 4.94  
Step: 0 | Loss:  38.1881 | w0: 1.0000 | r0: 0.4664 | st0: 1.0313 | sd0: 0.9937 | gamma0: 0.000000 | gamma_off | lr : 0.19483633 
Step: 1 | Loss: 167.8600 | w0: 1.0000 | r0: 0.1782 | st0: 1.1694 | sd0: 0.9847 | gamma0: 0.000000 | gamma_off | lr : 0.19483633 
Step: 0 | Loss:  37.1135 | w0: 1.0000 | r0: 0.4363 | st0: 1.0330 | sd0: 0.9935 | gamma0: 0.000000 | gamma_off | lr : 0.19452173 
Step: 1 | Loss: 126.6588 | w0: 1.0000 | r0: 0.1800 | st0: 1.1667 | sd0: 0.9869 | gamma0: 0.000000 | gamma_off | lr : 0.19452173 
Step: 0 | Loss:  40.3348 | w0: 1.0000 | r0: 0.4016 | st0: 1.0369 | sd0: 0.9928 | gamma0: 0.000000 | gamma_off | lr : 0.19419811 
Step: 1 | Loss: 177.2969 | w0: 1.0000 | r0: 0.1818 | st0: 1.1624 | sd0: 0.9899 | gamma0: 0.000000 | gamma_off | lr : 0.19419811 
Step: 0 | Loss:  39.4033 | w0: 1.0000 | r0: 0.3667 | st0: 1.0426 | sd0: 0.9922 | gamma0: 0.000000 | gamma_off | lr : 0.19386550 
Step: 1 | Loss: 110.3900 | w0: 1.0000 | r0: 0.1866 | st0: 1.1570 | sd0: 0.9936 | gamma0: 0.000000 | gamma_off | lr : 0.19386550 
Step: 0 | Loss:  43.1599 | w0: 1.0000 | r0: 0.3301 | st0: 1.0488 | sd0: 0.9918 | gamma0: 0.000000 | gamma_off | lr : 0.19352394 
