Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 367.0147 | w0: 1.0000 | r0: 0.3078 | st0: 0.8522 | sd0: 0.9689 | gamma0: 0.000000 | gamma_off | lr : 0.10000000 
Step: 1 | Loss: 131.6356 | w0: 1.0000 | r0: 0.6019 | st0: 1.0345 | sd0: 0.9548 | gamma0: 0.000000 | gamma_off | lr : 0.10000000 
Step: 2 | Loss:  37.2981 | w0: 1.0000 | r0: 0.2179 | st0: 0.9476 | sd0: 0.9554 | gamma0: 0.000000 | gamma_off | lr : 0.10000000 
Step: 3 | Loss:  20.6207 | w0: 1.0000 | r0: 0.5818 | st0: 0.9176 | sd0: 1.0037 | gamma0: 0.000000 | gamma_off | lr : 0.10000000 
Step: 4 | Loss: 221.0711 | w0: 1.0000 | r0: 0.5839 | st0: 1.0912 | sd0: 1.0626 | gamma0: 0.000000 | gamma_off | lr : 0.10000000 
tick 0     kimg 0.0       time 11s          sec/tick 7.4     sec/kimg 229.98  maintenance 4.1    gpumem 19.80  reserved 19.83 
Step: 0 | Loss:  80.8609 | w0: 1.0000 | r0: 0.2239 | st0: 0.8396 | sd0: 0.9851 | gamma0: 0.000000 | gamma_off | lr : 0.09999773 
Step: 1 | Loss:  42.5052 | w0: 1.0000 | r0: 0.5599 | st0: 1.0509 | sd0: 0.9680 | gamma0: 0.000000 | gamma_off | lr : 0.09999773 
Step: 2 | Loss:  12.3306 | w0: 1.0000 | r0: 0.2087 | st0: 0.9583 | sd0: 0.9698 | gamma0: 0.000000 | gamma_off | lr : 0.09999773 
Step: 3 | Loss:   7.0945 | w0: 1.0000 | r0: 0.5187 | st0: 0.9424 | sd0: 1.0183 | gamma0: 0.000000 | gamma_off | lr : 0.09999773 
Step: 4 | Loss: 197.2811 | w0: 1.0000 | r0: 0.5319 | st0: 1.1071 | sd0: 1.0686 | gamma0: 0.000000 | gamma_off | lr : 0.09999773 
Step: 0 | Loss:   1.5121 | w0: 1.0000 | r0: 0.1778 | st0: 0.8324 | sd0: 0.9977 | gamma0: 0.000000 | gamma_off | lr : 0.09999093 
Step: 1 | Loss:   6.6113 | w0: 1.0000 | r0: 0.5758 | st0: 1.0384 | sd0: 0.9814 | gamma0: 0.000000 | gamma_off | lr : 0.09999093 
Step: 2 | Loss:   2.0635 | w0: 1.0000 | r0: 0.2269 | st0: 0.9577 | sd0: 0.9864 | gamma0: 0.000000 | gamma_off | lr : 0.09999093 
Step: 3 | Loss:   0.8756 | w0: 1.0000 | r0: 0.4534 | st0: 0.9698 | sd0: 1.0316 | gamma0: 0.000000 | gamma_off | lr : 0.09999093 
Step: 4 | Loss: 124.6290 | w0: 1.0000 | r0: 0.4865 | st0: 1.1070 | sd0: 1.0664 | gamma0: 0.000000 | gamma_off | lr : 0.09999093 
Step: 0 | Loss:  15.2016 | w0: 1.0000 | r0: 0.1723 | st0: 0.8271 | sd0: 1.0059 | gamma0: 0.000000 | gamma_off | lr : 0.09997960 
Step: 1 | Loss:   0.0614 | w0: 1.0000 | r0: 0.5704 | st0: 1.0219 | sd0: 0.9899 | gamma0: 0.000000 | gamma_off | lr : 0.09997960 
Step: 2 | Loss:   0.0929 | w0: 1.0000 | r0: 0.2291 | st0: 0.9460 | sd0: 1.0023 | gamma0: 0.000000 | gamma_off | lr : 0.09997960 
Step: 3 | Loss:   0.3678 | w0: 1.0000 | r0: 0.3912 | st0: 0.9965 | sd0: 1.0429 | gamma0: 0.000000 | gamma_off | lr : 0.09997960 
Step: 4 | Loss: 109.4237 | w0: 1.0000 | r0: 0.4336 | st0: 1.0932 | sd0: 1.0602 | gamma0: 0.000000 | gamma_off | lr : 0.09997960 
Step: 0 | Loss:  23.5526 | w0: 1.0000 | r0: 0.2004 | st0: 0.8222 | sd0: 1.0074 | gamma0: 0.000000 | gamma_off | lr : 0.09996374 
Step: 1 | Loss:   0.2178 | w0: 1.0000 | r0: 0.5490 | st0: 1.0034 | sd0: 0.9908 | gamma0: 0.000000 | gamma_off | lr : 0.09996374 
Step: 2 | Loss:   0.2683 | w0: 1.0000 | r0: 0.2446 | st0: 0.9328 | sd0: 1.0082 | gamma0: 0.000000 | gamma_off | lr : 0.09996374 
Step: 3 | Loss:   0.8130 | w0: 1.0000 | r0: 0.4057 | st0: 1.0047 | sd0: 1.0465 | gamma0: 0.000000 | gamma_off | lr : 0.09996374 
Step: 4 | Loss: 122.0538 | w0: 1.0000 | r0: 0.3772 | st0: 1.0734 | sd0: 1.0518 | gamma0: 0.000000 | gamma_off | lr : 0.09996374 
Step: 0 | Loss:  10.5167 | w0: 1.0000 | r0: 0.2278 | st0: 0.8187 | sd0: 1.0048 | gamma0: 0.000000 | gamma_off | lr : 0.09994334 
Step: 1 | Loss:   0.6958 | w0: 1.0000 | r0: 0.5659 | st0: 0.9856 | sd0: 0.9867 | gamma0: 0.000000 | gamma_off | lr : 0.09994334 
Step: 2 | Loss:   0.3414 | w0: 1.0000 | r0: 0.2847 | st0: 0.9204 | sd0: 1.0026 | gamma0: 0.000000 | gamma_off | lr : 0.09994334 
Step: 3 | Loss:   0.9797 | w0: 1.0000 | r0: 0.4517 | st0: 0.9933 | sd0: 1.0410 | gamma0: 0.000000 | gamma_off | lr : 0.09994334 
Step: 4 | Loss: 119.8206 | w0: 1.0000 | r0: 0.3382 | st0: 1.0492 | sd0: 1.0412 | gamma0: 0.000000 | gamma_off | lr : 0.09994334 
Step: 0 | Loss:   0.1595 | w0: 1.0000 | r0: 0.2441 | st0: 0.8168 | sd0: 0.9998 | gamma0: 0.000000 | gamma_off | lr : 0.09991842 
Step: 1 | Loss:   5.6077 | w0: 1.0000 | r0: 0.5969 | st0: 0.9730 | sd0: 0.9807 | gamma0: 0.000000 | gamma_off | lr : 0.09991842 
Step: 2 | Loss:   2.1567 | w0: 1.0000 | r0: 0.3214 | st0: 0.9141 | sd0: 0.9940 | gamma0: 0.000000 | gamma_off | lr : 0.09991842 
Step: 3 | Loss:   1.9926 | w0: 1.0000 | r0: 0.5013 | st0: 0.9832 | sd0: 1.0318 | gamma0: 0.000000 | gamma_off | lr : 0.09991842 
Step: 4 | Loss: 117.3850 | w0: 1.0000 | r0: 0.3214 | st0: 1.0227 | sd0: 1.0299 | gamma0: 0.000000 | gamma_off | lr : 0.09991842 
Step: 0 | Loss:   1.7185 | w0: 1.0000 | r0: 0.2260 | st0: 0.8171 | sd0: 0.9976 | gamma0: 0.000000 | gamma_off | lr : 0.09988898 
Step: 1 | Loss:   8.9814 | w0: 1.0000 | r0: 0.5795 | st0: 0.9812 | sd0: 0.9787 | gamma0: 0.000000 | gamma_off | lr : 0.09988898 
Step: 2 | Loss:   3.3150 | w0: 1.0000 | r0: 0.3141 | st0: 0.9160 | sd0: 0.9864 | gamma0: 0.000000 | gamma_off | lr : 0.09988898 
Step: 3 | Loss:   2.2206 | w0: 1.0000 | r0: 0.5329 | st0: 0.9729 | sd0: 1.0241 | gamma0: 0.000000 | gamma_off | lr : 0.09988898 
Step: 4 | Loss: 111.1849 | w0: 1.0000 | r0: 0.3052 | st0: 1.0035 | sd0: 1.0218 | gamma0: 0.000000 | gamma_off | lr : 0.09988898 
Step: 0 | Loss:   0.0816 | w0: 1.0000 | r0: 0.1855 | st0: 0.8200 | sd0: 0.9994 | gamma0: 0.000000 | gamma_off | lr : 0.09985501 
Step: 1 | Loss:   4.3446 | w0: 1.0000 | r0: 0.5302 | st0: 1.0007 | sd0: 0.9829 | gamma0: 0.000000 | gamma_off | lr : 0.09985501 
Step: 2 | Loss:   1.7649 | w0: 1.0000 | r0: 0.2826 | st0: 0.9246 | sd0: 0.9876 | gamma0: 0.000000 | gamma_off | lr : 0.09985501 
Step: 3 | Loss:   1.3240 | w0: 1.0000 | r0: 0.5243 | st0: 0.9848 | sd0: 1.0242 | gamma0: 0.000000 | gamma_off | lr : 0.09985501 
