Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 128.6484 | w0: 1.0000 | r0: 0.3078 | st0: 1.0074 | sd0: 1.0168 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
Step: 1 | Loss:   1.0013 | w0: 1.0000 | r0: 0.6019 | st0: 1.1251 | sd0: 0.9689 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
Step: 2 | Loss:   2.5243 | w0: 1.0000 | r0: 0.2179 | st0: 0.8522 | sd0: 0.9548 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
Step: 3 | Loss: 203.3216 | w0: 1.0000 | r0: 0.5818 | st0: 1.0345 | sd0: 0.9554 | gamma0: 0.000000 | gamma_off | lr : 0.20000000 
tick 0     kimg 0.0       time 12s          sec/tick 7.6     sec/kimg 238.61  maintenance 3.9    gpumem 16.25  reserved 16.29 
Step: 0 | Loss:  31.2951 | w0: 1.0000 | r0: 0.4762 | st0: 1.0329 | sd0: 0.9919 | gamma0: 0.000000 | gamma_off | lr : 0.19999521 
Step: 1 | Loss:  17.6524 | w0: 1.0000 | r0: 0.7233 | st0: 1.0854 | sd0: 0.9727 | gamma0: 0.000000 | gamma_off | lr : 0.19999521 
Step: 2 | Loss:   6.8473 | w0: 1.0000 | r0: 0.1528 | st0: 0.8755 | sd0: 0.9737 | gamma0: 0.000000 | gamma_off | lr : 0.19999521 
Step: 3 | Loss: 199.7514 | w0: 1.0000 | r0: 0.4893 | st0: 1.0692 | sd0: 0.9715 | gamma0: 0.000000 | gamma_off | lr : 0.19999521 
Step: 0 | Loss:  15.7739 | w0: 1.0000 | r0: 0.4959 | st0: 1.0065 | sd0: 0.9946 | gamma0: 0.000000 | gamma_off | lr : 0.19998086 
Step: 1 | Loss:   5.2567 | w0: 1.0000 | r0: 0.7660 | st0: 1.0636 | sd0: 0.9972 | gamma0: 0.000000 | gamma_off | lr : 0.19998086 
