Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss: 128.6484 | w0: 1.0000 | r0: 0.3078 | st0: 1.0074 | sd0: 1.0168 | gamma0: 0.000000 | lr : 0.10000000 
Step: 1 | Loss:  11.4531 | w0: 1.0000 | r0: 0.6019 | st0: 1.1251 | sd0: 0.9689 | gamma0: 0.005577 | lr : 0.10000000 
Step: 2 | Loss:   4.9528 | w0: 1.0000 | r0: 0.2179 | st0: 0.8522 | sd0: 0.9548 | gamma0: 0.005476 | lr : 0.10000000 
Step: 3 | Loss: 197.3846 | w0: 1.0000 | r0: 0.5818 | st0: 1.0345 | sd0: 0.9554 | gamma0: 0.005173 | lr : 0.10000000 
tick 0     kimg 0.0       time 11s          sec/tick 7.7     sec/kimg 239.47  maintenance 2.9    gpumem 16.25  reserved 16.28 
Step: 0 | Loss:  10.0024 | w0: 1.0000 | r0: 0.3896 | st0: 1.0201 | sd0: 1.0044 | gamma0: 0.000000 | lr : 0.09999773 
Step: 1 | Loss:  12.2959 | w0: 1.0000 | r0: 0.6647 | st0: 1.1070 | sd0: 0.9726 | gamma0: 0.005228 | lr : 0.09999773 
Step: 2 | Loss:   5.0605 | w0: 1.0000 | r0: 0.1829 | st0: 0.8629 | sd0: 0.9638 | gamma0: 0.005161 | lr : 0.09999773 
Step: 3 | Loss: 197.0003 | w0: 1.0000 | r0: 0.5359 | st0: 1.0523 | sd0: 0.9632 | gamma0: 0.005403 | lr : 0.09999773 
Step: 0 | Loss:   1.5376 | w0: 1.0000 | r0: 0.4317 | st0: 1.0063 | sd0: 0.9991 | gamma0: 0.000000 | lr : 0.09999093 
Step: 1 | Loss:  12.0009 | w0: 1.0000 | r0: 0.7040 | st0: 1.0930 | sd0: 0.9832 | gamma0: 0.004882 | lr : 0.09999093 
Step: 2 | Loss:   4.6987 | w0: 1.0000 | r0: 0.1542 | st0: 0.8748 | sd0: 0.9731 | gamma0: 0.005060 | lr : 0.09999093 
Step: 3 | Loss: 185.7270 | w0: 1.0000 | r0: 0.4872 | st0: 1.0698 | sd0: 0.9628 | gamma0: 0.005645 | lr : 0.09999093 
Step: 0 | Loss:   3.3319 | w0: 1.0000 | r0: 0.4583 | st0: 0.9931 | sd0: 0.9981 | gamma0: 0.000000 | lr : 0.09997960 
Step: 1 | Loss:  10.0984 | w0: 1.0000 | r0: 0.7381 | st0: 1.0781 | sd0: 0.9933 | gamma0: 0.004602 | lr : 0.09997960 
Step: 2 | Loss:   4.1976 | w0: 1.0000 | r0: 0.1343 | st0: 0.8797 | sd0: 0.9819 | gamma0: 0.005128 | lr : 0.09997960 
Step: 3 | Loss: 167.3517 | w0: 1.0000 | r0: 0.4380 | st0: 1.0857 | sd0: 0.9657 | gamma0: 0.005878 | lr : 0.09997960 
Step: 0 | Loss:   1.9374 | w0: 1.0000 | r0: 0.4646 | st0: 0.9841 | sd0: 0.9994 | gamma0: 0.000000 | lr : 0.09996374 
Step: 1 | Loss:   9.7391 | w0: 1.0000 | r0: 0.7684 | st0: 1.0684 | sd0: 1.0035 | gamma0: 0.004403 | lr : 0.09996374 
Step: 2 | Loss:   3.7628 | w0: 1.0000 | r0: 0.1245 | st0: 0.8892 | sd0: 0.9917 | gamma0: 0.005293 | lr : 0.09996374 
Step: 3 | Loss: 101.0646 | w0: 1.0000 | r0: 0.3858 | st0: 1.1017 | sd0: 0.9721 | gamma0: 0.005905 | lr : 0.09996374 
Step: 0 | Loss:   7.6911 | w0: 1.0000 | r0: 0.4949 | st0: 0.9695 | sd0: 1.0032 | gamma0: 0.000000 | lr : 0.09994334 
Step: 1 | Loss:  12.1363 | w0: 1.0000 | r0: 0.7971 | st0: 1.0667 | sd0: 1.0129 | gamma0: 0.004166 | lr : 0.09994334 
Step: 2 | Loss:   4.4909 | w0: 1.0000 | r0: 0.1173 | st0: 0.9007 | sd0: 0.9996 | gamma0: 0.005446 | lr : 0.09994334 
Step: 3 | Loss: 134.8782 | w0: 1.0000 | r0: 0.3406 | st0: 1.1110 | sd0: 0.9703 | gamma0: 0.006053 | lr : 0.09994334 
Step: 0 | Loss:  15.7065 | w0: 1.0000 | r0: 0.5022 | st0: 0.9638 | sd0: 1.0048 | gamma0: 0.000000 | lr : 0.09991842 
Step: 1 | Loss:  16.1354 | w0: 1.0000 | r0: 0.8233 | st0: 1.0760 | sd0: 1.0179 | gamma0: 0.003863 | lr : 0.09991842 
Step: 2 | Loss:   5.4385 | w0: 1.0000 | r0: 0.1228 | st0: 0.9055 | sd0: 1.0015 | gamma0: 0.005510 | lr : 0.09991842 
Step: 3 | Loss: 144.8224 | w0: 1.0000 | r0: 0.3129 | st0: 1.1086 | sd0: 0.9620 | gamma0: 0.006158 | lr : 0.09991842 
Step: 0 | Loss:   8.5508 | w0: 1.0000 | r0: 0.4681 | st0: 0.9760 | sd0: 1.0035 | gamma0: 0.000000 | lr : 0.09988898 
Step: 1 | Loss:  12.8244 | w0: 1.0000 | r0: 0.8432 | st0: 1.0871 | sd0: 1.0181 | gamma0: 0.003580 | lr : 0.09988898 
Step: 2 | Loss:   3.8867 | w0: 1.0000 | r0: 0.1319 | st0: 0.9070 | sd0: 0.9993 | gamma0: 0.005410 | lr : 0.09988898 
Step: 3 | Loss: 134.0843 | w0: 1.0000 | r0: 0.2946 | st0: 1.1006 | sd0: 0.9526 | gamma0: 0.006204 | lr : 0.09988898 
Step: 0 | Loss:   1.6693 | w0: 1.0000 | r0: 0.4249 | st0: 0.9903 | sd0: 0.9991 | gamma0: 0.000000 | lr : 0.09985501 
Step: 1 | Loss:   8.9590 | w0: 1.0000 | r0: 0.8541 | st0: 1.0914 | sd0: 1.0154 | gamma0: 0.003319 | lr : 0.09985501 
Step: 2 | Loss:   3.7748 | w0: 1.0000 | r0: 0.1414 | st0: 0.9051 | sd0: 0.9955 | gamma0: 0.005222 | lr : 0.09985501 
Step: 3 | Loss: 132.7270 | w0: 1.0000 | r0: 0.2891 | st0: 1.0914 | sd0: 0.9453 | gamma0: 0.006387 | lr : 0.09985501 
Step: 0 | Loss:  10.9672 | w0: 1.0000 | r0: 0.3972 | st0: 0.9977 | sd0: 0.9952 | gamma0: 0.000000 | lr : 0.09981652 
Step: 1 | Loss:   7.8794 | w0: 1.0000 | r0: 0.8584 | st0: 1.0926 | sd0: 1.0129 | gamma0: 0.003083 | lr : 0.09981652 
Step: 2 | Loss:   3.5111 | w0: 1.0000 | r0: 0.1395 | st0: 0.9081 | sd0: 0.9924 | gamma0: 0.004971 | lr : 0.09981652 
Step: 3 | Loss: 116.3928 | w0: 1.0000 | r0: 0.2844 | st0: 1.0811 | sd0: 0.9389 | gamma0: 0.006326 | lr : 0.09981652 
Step: 0 | Loss:  11.8283 | w0: 1.0000 | r0: 0.3765 | st0: 1.0005 | sd0: 0.9949 | gamma0: 0.000000 | lr : 0.09977352 
Step: 1 | Loss:   6.7404 | w0: 1.0000 | r0: 0.8551 | st0: 1.0924 | sd0: 1.0119 | gamma0: 0.002887 | lr : 0.09977352 
Step: 2 | Loss:   2.6652 | w0: 1.0000 | r0: 0.1383 | st0: 0.9110 | sd0: 0.9907 | gamma0: 0.004732 | lr : 0.09977352 
Step: 3 | Loss: 102.7281 | w0: 1.0000 | r0: 0.2795 | st0: 1.0795 | sd0: 0.9391 | gamma0: 0.006312 | lr : 0.09977352 
Step: 0 | Loss:   2.9655 | w0: 1.0000 | r0: 0.3576 | st0: 1.0010 | sd0: 0.9975 | gamma0: 0.000000 | lr : 0.09972601 
Step: 1 | Loss:   5.7922 | w0: 1.0000 | r0: 0.8456 | st0: 1.0962 | sd0: 1.0126 | gamma0: 0.002677 | lr : 0.09972601 
Step: 2 | Loss:   2.3167 | w0: 1.0000 | r0: 0.1377 | st0: 0.9165 | sd0: 0.9910 | gamma0: 0.004531 | lr : 0.09972601 
Step: 3 | Loss: 118.1297 | w0: 1.0000 | r0: 0.2743 | st0: 1.0861 | sd0: 0.9429 | gamma0: 0.006221 | lr : 0.09972601 
Step: 0 | Loss:   3.3064 | w0: 1.0000 | r0: 0.3331 | st0: 1.0045 | sd0: 1.0024 | gamma0: 0.000000 | lr : 0.09967399 
Step: 1 | Loss:   7.4460 | w0: 1.0000 | r0: 0.8326 | st0: 1.1039 | sd0: 1.0150 | gamma0: 0.002443 | lr : 0.09967399 
Step: 2 | Loss:   2.7943 | w0: 1.0000 | r0: 0.1453 | st0: 0.9257 | sd0: 0.9918 | gamma0: 0.004242 | lr : 0.09967399 
Step: 3 | Loss: 111.8136 | w0: 1.0000 | r0: 0.2633 | st0: 1.0909 | sd0: 0.9478 | gamma0: 0.006151 | lr : 0.09967399 
Step: 0 | Loss:   9.5080 | w0: 1.0000 | r0: 0.3118 | st0: 1.0053 | sd0: 1.0044 | gamma0: 0.000000 | lr : 0.09961747 
Step: 1 | Loss:   8.5878 | w0: 1.0000 | r0: 0.8225 | st0: 1.1088 | sd0: 1.0157 | gamma0: 0.002271 | lr : 0.09961747 
Step: 2 | Loss:   2.3559 | w0: 1.0000 | r0: 0.1608 | st0: 0.9282 | sd0: 0.9919 | gamma0: 0.003977 | lr : 0.09961747 
Step: 3 | Loss: 117.6877 | w0: 1.0000 | r0: 0.2588 | st0: 1.0930 | sd0: 0.9546 | gamma0: 0.005956 | lr : 0.09961747 
Step: 0 | Loss:   1.2882 | w0: 1.0000 | r0: 0.2889 | st0: 1.0072 | sd0: 1.0013 | gamma0: 0.000000 | lr : 0.09955646 
Step: 1 | Loss:   5.5872 | w0: 1.0000 | r0: 0.8155 | st0: 1.1102 | sd0: 1.0125 | gamma0: 0.002150 | lr : 0.09955646 
Step: 2 | Loss:   1.7917 | w0: 1.0000 | r0: 0.1769 | st0: 0.9235 | sd0: 0.9889 | gamma0: 0.003749 | lr : 0.09955646 
Step: 3 | Loss: 120.5707 | w0: 1.0000 | r0: 0.2545 | st0: 1.0866 | sd0: 0.9586 | gamma0: 0.005864 | lr : 0.09955646 
Step: 0 | Loss:   7.5133 | w0: 1.0000 | r0: 0.2714 | st0: 1.0102 | sd0: 0.9958 | gamma0: 0.000000 | lr : 0.09949096 
Step: 1 | Loss:   4.1732 | w0: 1.0000 | r0: 0.8090 | st0: 1.1051 | sd0: 1.0065 | gamma0: 0.002021 | lr : 0.09949096 
