Model already exists: ../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl
Loading the pre-trained diffusion model from "../CS2/src/cifar10/edm-cifar10-32x32-uncond-vp.pkl"...
Constructing predictor...
Setting up optimizer...
Using Cosince Annealing Learning Rate
Training for 10 kimg...

/zhaotong/EPD/solver_utils.py:38: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_d = 2 * (np.log(torch.tensor(sigma_min).cpu() ** 2 + 1) / epsilon_s - np.log(torch.tensor(sigma_max).cpu() ** 2 + 1)) / (epsilon_s - 1)
/zhaotong/EPD/solver_utils.py:39: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  vp_beta_min = np.log(torch.tensor(sigma_max).cpu() ** 2 + 1) - 0.5 * vp_beta_d
Step: 0 | Loss:   7.2548 | w0: 1.0000 | r0: 0.3330 | st0: 0.8772 | sd0: 1.0028 | gamma0: 0.000000 | gamma_off | lr : 0.19810441 
Step: 1 | Loss:   2.3691 | w0: 1.0000 | r0: 0.4764 | st0: 1.0498 | sd0: 1.0090 | gamma0: 0.000000 | gamma_off | lr : 0.19810441 
Step: 2 | Loss: 146.8377 | w0: 1.0000 | r0: 0.1058 | st0: 0.9640 | sd0: 1.0137 | gamma0: 0.000000 | gamma_off | lr : 0.19810441 
Step: 0 | Loss:   8.9519 | w0: 1.0000 | r0: 0.3346 | st0: 0.8692 | sd0: 1.0035 | gamma0: 0.000000 | gamma_off | lr : 0.19770794 
Step: 1 | Loss:   2.1963 | w0: 1.0000 | r0: 0.5213 | st0: 1.0452 | sd0: 1.0091 | gamma0: 0.000000 | gamma_off | lr : 0.19770794 
Step: 2 | Loss: 130.4576 | w0: 1.0000 | r0: 0.1072 | st0: 0.9561 | sd0: 1.0109 | gamma0: 0.000000 | gamma_off | lr : 0.19770794 
Step: 0 | Loss:   1.2937 | w0: 1.0000 | r0: 0.3287 | st0: 0.8635 | sd0: 0.9995 | gamma0: 0.000000 | gamma_off | lr : 0.19727436 
Step: 1 | Loss:   1.6884 | w0: 1.0000 | r0: 0.5643 | st0: 1.0308 | sd0: 1.0058 | gamma0: 0.000000 | gamma_off | lr : 0.19727436 
Step: 2 | Loss:  70.6381 | w0: 1.0000 | r0: 0.1225 | st0: 0.9399 | sd0: 1.0053 | gamma0: 0.000000 | gamma_off | lr : 0.19727436 
Step: 0 | Loss:  16.8784 | w0: 1.0000 | r0: 0.3115 | st0: 0.8598 | sd0: 0.9941 | gamma0: 0.000000 | gamma_off | lr : 0.19680383 
Step: 1 | Loss:   2.9451 | w0: 1.0000 | r0: 0.5979 | st0: 1.0143 | sd0: 1.0008 | gamma0: 0.000000 | gamma_off | lr : 0.19680383 
Step: 2 | Loss: 106.9257 | w0: 1.0000 | r0: 0.1476 | st0: 0.9201 | sd0: 0.9993 | gamma0: 0.000000 | gamma_off | lr : 0.19680383 
Step: 0 | Loss:  31.6523 | w0: 1.0000 | r0: 0.2753 | st0: 0.8611 | sd0: 0.9919 | gamma0: 0.000000 | gamma_off | lr : 0.19629654 
Step: 1 | Loss:   5.5090 | w0: 1.0000 | r0: 0.6186 | st0: 1.0100 | sd0: 0.9981 | gamma0: 0.000000 | gamma_off | lr : 0.19629654 
Step: 2 | Loss: 107.9302 | w0: 1.0000 | r0: 0.1624 | st0: 0.9108 | sd0: 0.9958 | gamma0: 0.000000 | gamma_off | lr : 0.19629654 
Step: 0 | Loss:  11.1192 | w0: 1.0000 | r0: 0.2344 | st0: 0.8651 | sd0: 0.9950 | gamma0: 0.000000 | gamma_off | lr : 0.19575269 
Step: 1 | Loss:   2.1450 | w0: 1.0000 | r0: 0.6086 | st0: 1.0217 | sd0: 0.9994 | gamma0: 0.000000 | gamma_off | lr : 0.19575269 
Step: 2 | Loss:  92.6697 | w0: 1.0000 | r0: 0.1569 | st0: 0.9113 | sd0: 0.9942 | gamma0: 0.000000 | gamma_off | lr : 0.19575269 
Step: 0 | Loss:   1.1875 | w0: 1.0000 | r0: 0.2070 | st0: 0.8666 | sd0: 1.0008 | gamma0: 0.000000 | gamma_off | lr : 0.19517251 
